Workout Start,Workout End,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2026-04-09 06:33,,"Bench Press",,,"",,,,Chest,"Home Push A1",
2026-04-09 06:33,,"Bench Press",,,"",,,,Chest,"Home Push A1",
2026-04-09 06:33,,"Bench Press",,,"",,,,Chest,"Home Push A1",
2026-04-09 06:33,,"Bench Press",,,"",,,,Chest,"Home Push A1",
2026-04-09 06:33,,"Shoulder Dumbbell Press",,,"",,,,Shoulders,"Home Push A1",
2026-04-09 06:33,,"Shoulder Dumbbell Press",,,"",,,,Shoulders,"Home Push A1",
2026-04-09 06:33,,"Shoulder Dumbbell Press",,,"",,,,Shoulders,"Home Push A1",
2026-04-08 06:35,2026-04-08 07:08,"Neutral Grip Pulldown",120,10,"",,,,Back,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Neutral Grip Pulldown",120,10,"",,,,Back,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Neutral Grip Pulldown",120,10,"",,,,Back,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Chest supported dumbbell row",40,10,"",,,,Back,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Chest supported dumbbell row",40,10,"",,,,Back,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Chest supported dumbbell row",35,12,"",,,,Back,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Cable Row",100,15,"",,,,Back,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Cable Row",100,12,"",,,,Back,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Cable Row",,,"",,,,Back,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Smitch machine Shrugs",95,10,"",,,,Shoulders,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Smitch machine Shrugs",,,"",,,,Shoulders,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Incline Curls",20,15,"",,,,Biceps,"Home Pull A2",
2026-04-08 06:35,2026-04-08 07:08,"Hammer Curl",30,9,"",,,,Biceps,"Home Pull A2",
2026-04-05 11:13,2026-04-05 13:12,"Close Grip Smith Machine Press",115,8,"",,,,Chest,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Close Grip Smith Machine Press",115,8,"",,,,Chest,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Close Grip Smith Machine Press",115,5,"",,,,Chest,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Shoulder Dumbbell Press",,,"",,,,Shoulders,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Shoulder Dumbbell Press",,,"",,,,Shoulders,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Shoulder Dumbbell Press",,,"",,,,Shoulders,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Incline Dumbbell Press",,,"",,,,Chest,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Incline Dumbbell Press",,,"",,,,Chest,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Incline Dumbbell Press",,,"",,,,Chest,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Incline Dumbbell Press",,,"",,,,Chest,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Low to High Cable Flies",,,"",,,,Chest,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Cable lateral raises",,,"",,,,Shoulders,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Cable Tricep Kickbacks",,,"",,,,Triceps,"Home push A2",
2026-04-05 11:13,2026-04-05 13:12,"Cable Crunches",,,"",,,,Abs,"Home push A2",
2026-04-04 06:39,,"One Lat Pull In",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"One Lat Pull In",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"Pull Up",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"Pull Up",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"Pull Up",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"Chest supported dumbbell row",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"Chest supported dumbbell row",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"Chest supported dumbbell row",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"Cable Row",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"Cable Row",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"Cable Row",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"Face Pull",,,"",,,,Back,"Home Pull A1",
2026-04-04 06:39,,"Cable curl",,,"",,,,Biceps,"Home Pull A1",
